1.480000000000000066e-02 1.199999999999999895e-03 4.000000000000000192e-04
2.869999999999999982e-02 1.199999999999999895e-03 1.100000000000000039e-04
2.840000000000000163e-02 3.099999999999999891e-03 4.099999999999999912e-04
2.750000000000000014e-02 1.699999999999999905e-03 3.499999999999999964e-04
1.559999999999999928e-02 5.999999999999999474e-04 2.400000000000000061e-04
1.359999999999999924e-02 4.100000000000000346e-03 3.299999999999999982e-04
6.499999999999999702e-03 5.100000000000000366e-03 2.999999999999999737e-04
2.419999999999999929e-02 1.899999999999999996e-03 1.600000000000000131e-04
1.770000000000000046e-02 1.299999999999999940e-03 4.499999999999999877e-04
3.429999999999999716e-02 2.200000000000000133e-03 3.499999999999999964e-04
9.900000000000000813e-03 1.600000000000000077e-03 3.099999999999999999e-04
8.099999999999999561e-03 3.899999999999999821e-03 1.900000000000000105e-04
1.069999999999999944e-02 1.500000000000000031e-03 3.899999999999999929e-04
1.569999999999999868e-02 4.799999999999999580e-03 2.999999999999999737e-04
1.729999999999999941e-02 2.399999999999999790e-03 1.700000000000000122e-04
4.199999999999999740e-03 4.300000000000000003e-03 2.500000000000000052e-04
2.299999999999999961e-03 2.500000000000000052e-03 1.700000000000000122e-04
3.049999999999999933e-02 4.100000000000000346e-03 4.299999999999999894e-04
1.959999999999999937e-02 5.000000000000000104e-03 3.600000000000000227e-04
1.760000000000000106e-02 5.400000000000000286e-03 4.200000000000000174e-04
2.400000000000000050e-02 3.799999999999999992e-03 1.900000000000000105e-04
2.069999999999999965e-02 2.899999999999999800e-03 4.000000000000000192e-04
2.290000000000000022e-02 4.899999999999999842e-03 2.799999999999999755e-04
1.269999999999999948e-02 1.799999999999999951e-03 4.800000000000000122e-04
2.869999999999999982e-02 1.899999999999999996e-03 3.499999999999999964e-04
6.700000000000000226e-03 3.299999999999999982e-03 1.900000000000000105e-04
2.409999999999999989e-02 5.000000000000000104e-03 1.399999999999999877e-04
2.189999999999999933e-02 3.799999999999999992e-03 3.699999999999999947e-04
1.600000000000000033e-02 2.700000000000000143e-03 1.499999999999999869e-04
1.420000000000000082e-02 2.799999999999999972e-03 3.400000000000000244e-04
5.499999999999999681e-03 6.999999999999999929e-04 2.999999999999999737e-04
3.729999999999999982e-02 5.199999999999999761e-03 3.099999999999999999e-04
7.100000000000000408e-03 1.899999999999999996e-03 2.999999999999999737e-04
1.000000000000000021e-02 2.500000000000000052e-03 4.200000000000000174e-04
2.899999999999999800e-03 4.300000000000000003e-03 4.600000000000000139e-04
2.299999999999999961e-03 1.100000000000000066e-03 4.099999999999999912e-04
